name,category,serving_size_g,calories,sodium_mg,sugar_g,carbs_g,protein_g,fat_g,sample_count,source_dataset,method,serving_basis
가공우유,유가공품류,212.0,68.9,47.2,8.96,8.96,2.36,2.36,860,가공식품,수집,표시기준 1회 섭취참고량
가공우유(멸균),유가공품류,212.0,70.8,47.2,8.58,10.72,2.14,2.06,28,가공식품,수집,표시기준 1회 섭취참고량
가라지류,어패류 및 기타 수산물,,78.0,,0.69,0.69,14.81,1.3,1,원재료성식품,분석,
가래떡,빵 및 과자류,100.0,195.0,241.0,0.0,43.73,3.92,0.51,3,음식,분석,표시기준 1회 섭취참고량
가리비류,어패류 및 기타 수산물,,67.0,371.0,0.2,0.0,12.3,0.82,17,원재료성식품,분석,
가무락조개,어패류 및 기타 수산물,,61.0,528.0,,3.19,8.17,1.46,2,원재료성식품,분석,
가물치,어패류 및 기타 수산물,,86.0,,0.3,0.3,18.2,0.8,2,원재료성식품,분석,
가시망둑,어패류 및 기타 수산물,,101.0,,0.0,0.0,22.4,0.7,1,원재료성식품,분석,
가시오가피,채소류,,76.0,1.0,2.48,15.87,5.67,0.7,2,원재료성식품,분석,
가오리류,어패류 및 기타 수산물,,97.0,,0.0,0.0,21.6,0.6,5,원재료성식품,분석,
가오리찜,찜류,200.0,102.0,151.0,0.06,0.46,21.99,1.39,2,음식,분석,가정식 분석
가오리콩나물찜,찜류,600.0,29.0,111.0,0.69,3.5,2.68,0.84,1,음식,산출,외식 레시피
가오리회무침,생채·무침류,270.0,47.0,164.0,3.54,6.47,4.7,0.47,2,음식,산출,산업체 급식
가자미 매운탕,찌개 및 전골류,550.0,31.0,113.0,0.36,1.5,4.4,0.81,2,음식,산출,산업체 급식
가자미구이,구이류,200.0,123.0,315.0,0.0,0.66,18.7,5.02,6,음식,분석,가정식 분석
가자미류,어패류 및 기타 수산물,,90.0,,0.2,0.2,18.3,1.3,129,원재료성식품,분석,
가자미식해,젓갈류,250.0,134.0,685.0,3.71,11.64,11.09,4.81,1,음식,분석,가정식 분석
가자미조림,조림류,188.8,99.0,564.0,3.5,7.17,12.37,2.37,5,음식,분석,산업체 급식
가자미찜,찜류,170.8,77.0,344.0,0.72,2.67,11.7,1.95,2,음식,산출,산업체 급식
가자미튀김,튀김류,,94.0,215.0,0.0,2.89,5.1,6.54,4,음식,산출,
가재류,어패류 및 기타 수산물,,85.0,58.0,0.0,0.0,15.97,0.95,9,원재료성식품,분석,
가죽나물무침,생채·무침류,80.0,76.0,276.0,3.81,10.05,5.83,1.35,1,음식,분석,가정식 분석
가지,채소류,,19.0,0.0,2.32,4.36,1.13,0.03,4,원재료성식품,분석,
가지김치,김치류,40.0,36.0,1592.0,2.45,6.22,2.1,0.77,1,음식,산출,표시기준 1회 섭취참고량
가지나물,나물·숙채류,50.0,36.0,274.0,2.34,4.18,1.42,1.5,5,음식,분석,가정식 분석
가지냉국,국 및 탕류,160.0,19.0,654.0,1.4,3.42,1.1,0.39,1,음식,산출,산업체 급식
가지볶음,볶음류,60.0,35.0,207.0,1.55,3.36,0.9,2.17,3,음식,산출,외식 레시피
가지전,전·적 및 부침류,200.0,123.0,337.0,0.84,8.88,5.48,7.28,5,음식,분석,가정식 분석
가지찜,찜류,,120.0,402.0,2.64,10.23,5.6,6.29,2,음식,산출,
가지탕수,튀김류,195.4,154.0,236.0,4.19,21.21,2.2,6.5,3,음식,산출,산업체 급식
각시수랑,어패류 및 기타 수산물,,70.0,,0.92,0.92,15.0,0.3,1,원재료성식품,분석,
간자장,면 및 만두류,500.0,125.0,455.0,0.86,15.13,5.12,4.89,4,음식,분석,가정식 분석
간장,장류,5.6,53.6,5625.0,2.68,6.25,6.25,0.0,831,가공식품,수집,표시기준 1회 섭취참고량
간재미회무침,생채·무침류,270.0,47.0,164.0,3.57,6.47,4.73,0.47,1,음식,산출,외식 레시피
갈래곰보,해조류,,12.0,,4.3,4.6,0.9,0.2,1,원재료성식품,분석,
갈매기살구이,구이류,,312.0,124.0,0.0,0.28,26.98,22.6,1,음식,분석,
갈비구이,구이류,300.0,294.0,389.0,5.7,5.78,19.58,21.39,5,음식,분석,가정식 분석
갈비찜,찜류,300.0,198.0,301.0,1.73,5.26,19.94,10.78,3,음식,분석,가정식 분석
갈비탕,국 및 탕류,670.0,54.0,199.0,0.11,0.4,8.51,2.06,6,음식,분석,가정식 분석
갈색 거저리,기타,,195.0,32.0,0.97,0.83,23.19,11.0,2,원재료성식품,분석,
갈치구이,구이류,200.0,138.0,297.0,0.0,0.6,21.54,5.48,10,음식,분석,가정식 분석
갈치류,어패류 및 기타 수산물,,121.0,,0.0,0.0,20.0,3.9,71,원재료성식품,분석,
갈치젓,젓갈류,90.0,149.0,5023.0,4.91,10.28,15.53,5.08,1,음식,분석,가정식 분석
갈치조림,조림류,95.0,76.0,297.0,1.68,4.67,7.1,3.09,3,음식,산출,산업체 급식
갈치찌개,찌개 및 전골류,250.0,38.0,91.0,0.98,1.95,5.27,1.0,4,음식,분석,가정식 분석
갈치튀김,튀김류,,78.0,172.0,0.0,1.85,4.6,5.47,2,음식,산출,
감,과일류,,62.0,1.0,11.23,16.61,0.44,0.09,10,원재료성식품,분석,
감말랭이,과일류,,236.0,2.0,29.46,63.57,1.83,0.12,3,원재료성식품,분석,
감바스,볶음류,,303.0,346.0,1.42,18.56,6.54,22.52,3,음식,분석,
감잎차,차류,,0.0,0.0,0.0,0.0,0.02,0.03,1,원재료성식품,분석,
감자,찜류,200.0,70.0,3.0,0.86,15.01,2.16,0.16,1,음식,분석,가정식 분석
감자 된장국,국 및 탕류,320.0,32.0,207.0,0.36,4.0,2.4,0.77,4,음식,산출,산업체 급식
감자 소고기찌개,찌개 및 전골류,315.2,48.0,267.0,0.65,3.81,3.2,2.27,3,음식,산출,외식 레시피
감자 호박된장국,국 및 탕류,320.0,25.0,377.0,0.55,3.51,2.1,0.43,1,음식,산출,산업체 급식
